"","fatality","time_of_day","day_of_week","month","number_of_colliding_vehicles","heavy_vehicle_involved","accident_at_intersection","inappropriate_turning"
"54794",0,"11","1","12","0","0","1","0"
"7224",0,"16","0","3","1","0","1","0"
"434775",0,"19","3","4","2","0","1","0"
"168396",0,"16","0","6","2","0","1","0"
"477507",0,"14","2","1","2","0","1","0"
"453731",0,"18","3","3","2","1","1","0"
"192910",0,"6","3","5","2","0","1","0"
"358253",0,"20","2","8","2","0","1","1"
"438977",0,"11","2","4","2","0","1","0"
"17676",0,"17","3","2","3","0","1","0"
"449860",0,"11","2","3","2","0","1","0"
"33185",0,"17","3","1","2","0","1","0"
"475503",0,"0","6","1","2","0","1","0"
"72579",0,"15","1","11","2","0","0","0"
"88470",0,"12","5","10","2","0","0","0"
"295174",0,"11","5","11","2","0","1","0"
"381563",0,"20","6","7","2","0","1","0"
"384245",0,"9","1","6","2","0","1","0"
"317981",0,"7","4","10","2","0","1","0"
"425361",0,"13","5","4","2","0","1","0"
"232945",0,"15","0","3","2","0","1","0"
"241528",0,"14","0","2","2","0","0","0"
"37368",0,"22","2","1","1","0","0","0"
"354314",0,"12","1","8","2","0","1","1"
"27160",0,"8","0","1","2","0","1","0"
"191046",0,"18","6","5","2","0","1","0"
"310515",0,"8","2","10","2","0","1","0"
"294725",0,"22","6","11","1","0","1","0"
"370865",0,"12","3","7","1","0","1","0"
"8846",0,"14","4","3","2","0","0","0"
"13021",0,"13","4","2","1","0","0","0"
"161893",0,"16","2","6","2","0","1","0"
"87335",0,"16","0","10","1","0","1","0"
"334437",0,"16","5","9","2","0","0","0"
"289346",0,"13","1","12","1","0","1","0"
"271318",0,"18","3","12","2","0","1","0"
"123113",0,"18","0","8","2","0","0","0"
"106686",0,"16","4","9","2","0","1","0"
"378119",0,"22","5","7","4","0","1","0"
"412507",0,"21","5","5","2","0","1","0"
"352508",0,"16","4","8","3","0","0","0"
"390203",0,"17","0","6","2","0","1","0"
"7195",0,"14","0","3","1","0","1","0"
"424958",0,"15","6","4","2","0","1","0"
"273378",0,"12","6","12","1","0","1","0"
"144249",0,"0","1","7","2","0","0","0"
"294888",0,"21","6","11","2","0","0","0"
"420527",0,"15","6","5","2","0","1","0"
"382933",0,"16","3","7","2","0","1","0"
"440321",0,"20","6","3","1","0","1","0"
"53637",0,"9","3","12","2","0","0","0"
"384631",0,"18","1","6","1","0","1","0"
"62710",0,"8","3","12","1","0","1","1"
"260887",0,"9","1","1","2","1","1","0"
"332268",0,"23","2","9","2","1","1","0"
"25702",0,"16","3","2","2","0","1","0"
"101802",0,"18","4","9","1","0","1","0"
"430203",0,"13","4","4","4","0","1","0"
"274162",0,"20","4","12","2","0","1","0"
"106500",0,"6","4","9","2","0","1","0"
"106123",0,"15","5","9","3","0","1","0"
"91570",0,"19","0","10","2","0","1","0"
"162286",0,"16","1","6","2","0","0","0"
"357370",0,"10","3","8","2","0","1","0"
"297305",0,"16","2","11","2","0","1","0"
"238663",0,"11","4","2","2","0","1","0"
"22452",0,"17","1","2","2","0","1","0"
"173116",0,"0","6","6","2","0","1","0"
"755",0,"13","4","3","0","0","1","0"
"79451",0,"12","4","11","2","0","1","0"
"149815",0,"12","0","7","1","0","0","0"
"346808",0,"5","0","8","2","0","1","0"
"186819",0,"18","5","5","3","0","0","0"
"317051",0,"13","5","10","2","1","0","0"
"95566",0,"12","1","10","1","0","0","0"
"451172",0,"11","0","3","2","1","1","0"
"285769",0,"12","0","12","2","0","1","0"
"206405",0,"16","2","4","2","0","1","0"
"398242",0,"1","0","6","2","0","1","0"
"414483",0,"17","2","5","2","0","1","0"
"238486",0,"21","5","2","2","0","1","0"
"135851",0,"14","1","8","2","0","1","0"
"69295",0,"15","6","11","1","0","0","0"
"3173",0,"12","0","3","2","0","1","0"
"90332",0,"17","2","10","2","0","1","0"
"313699",0,"18","3","10","2","0","0","0"
"54581",0,"2","1","12","2","0","0","0"
"194528",0,"4","1","5","2","0","1","0"
"319689",0,"11","1","10","1","0","1","0"
"432177",0,"21","1","4","2","0","1","0"
"406257",0,"14","2","5","2","0","1","0"
"26242",0,"14","2","2","1","0","1","0"
"453327",0,"8","4","3","2","0","1","0"
"408001",0,"11","5","5","2","1","1","0"
"214373",0,"23","3","4","2","0","0","0"
"365246.1",0,"23","5","8","2","0","1","0"
"101922",0,"19","4","9","3","0","1","0"
"158166",0,"14","1","7","2","0","1","0"
"238153",0,"11","6","2","2","0","1","0"
"194719",0,"10","0","5","2","0","1","0"
"266726",0,"13","5","1","2","0","1","0"
"304503",0,"12","5","11","2","0","1","0"
"43564",0,"13","5","12","2","0","1","0"
"334441",0,"16","5","9","2","0","1","0"
"291553",0,"17","5","11","5","0","1","0"
"234006",0,"18","5","3","1","0","1","0"
"386763",0,"11","4","6","2","0","1","0"
"302089",0,"2","2","11","2","0","1","0"
"42075",0,"12","1","1","1","0","0","0"
"163535",0,"9","0","6","2","0","0","0"
"217922",0,"23","4","4","2","0","1","0"
"230353",0,"15","4","3","2","0","1","0"
"142130",0,"0","4","7","1","0","0","0"
"202702",0,"9","1","4","2","0","1","0"
"83654",0,"8","5","10","0","0","0","0"
"85594",0,"6","2","10","1","0","0","0"
"335697",0,"0","3","9","2","0","0","0"
"179302",0,"15","3","6","2","0","1","0"
"244966",0,"10","0","2","2","1","1","0"
"190761",0,"8","0","5","1","0","1","0"
"388047",0,"18","2","6","1","0","1","0"
"299581",0,"9","6","11","2","0","1","0"
"289090",0,"9","2","12","2","0","1","0"
"456597",0,"18","6","3","3","0","1","0"
"397468",0,"12","1","6","2","0","1","0"
"256142",0,"15","2","1","1","0","1","0"
"80170",0,"12","3","11","2","0","1","0"
"163280",0,"16","0","6","2","0","1","0"
"330496",0,"18","5","9","2","0","1","0"
"177199",0,"12","6","6","1","0","0","0"
"310627",0,"11","1","10","2","0","1","0"
"446520",0,"15","2","3","2","0","1","0"
"242171",0,"11","5","2","1","0","0","0"
"30617",0,"14","0","1","2","0","0","0"
"347563",0,"14","6","8","2","0","1","0"
"291929",0,"22","4","11","2","0","1","0"
"193948",0,"19","2","5","2","0","1","0"
"101700",0,"10","5","10","2","0","0","0"
"347339",0,"22","6","8","2","0","1","0"
"464777",0,"14","6","2","2","0","1","0"
"403890",0,"1","5","5","2","0","0","0"
"188724",0,"15","3","5","2","0","1","0"
"203191",0,"14","0","4","1","0","1","0"
"374386",0,"7","4","7","2","0","1","0"
"404087",0,"13","5","5","1","0","1","0"
"283169",0,"0","4","12","2","0","0","0"
"209346",0,"13","4","4","2","0","0","0"
"206040",0,"18","2","4","2","0","1","0"
"117223",0,"15","2","9","2","0","0","0"
"5565",0,"9","3","3","2","0","0","0"
"458986",0,"14","2","2","2","0","1","0"
"94950",0,"21","2","10","1","0","0","0"
"424826",0,"5","6","4","2","0","1","0"
"81949",0,"15","1","11","1","0","0","0"
"39233",0,"19","6","1","2","0","1","0"
"29004",0,"10","3","1","2","0","1","0"
"64055",0,"10","1","11","1","0","1","0"
"395452",0,"8","5","6","2","0","1","0"
"115003",0,"3","6","9","2","0","1","0"
"128715",0,"17","5","8","2","0","0","0"
"163336",0,"18","0","6","2","0","0","0"
"281957",0,"17","6","12","1","0","1","0"
"367388",0,"20","2","7","2","0","1","0"
"271366",0,"20","3","12","2","0","1","0"
"67102",0,"15","2","11","2","0","1","0"
"56766",0,"18","5","12","2","0","0","0"
"300085",0,"2","5","11","2","0","0","0"
"7610.1",0,"17","0","3","1","0","0","0"
"109469",0,"9","0","9","1","0","1","0"
"403075",0,"10","6","5","2","0","1","0"
"184598",0,"12","2","5","2","0","1","0"
"53732",0,"4","3","12","1","0","0","0"
"478031",0,"13","1","1","2","0","1","0"
"238610",0,"13","5","2","2","0","1","0"
"217922.1",0,"23","4","4","2","0","1","0"
"148463",0,"13","2","7","2","0","1","0"
"49334",0,"18","2","12","1","0","1","0"
"448593",0,"6","5","3","2","0","1","0"
"71530",0,"8","3","11","1","0","0","0"
"242361",0,"23","5","2","2","1","1","0"
"413245",0,"22","4","5","2","0","1","0"
"267958",0,"11","3","1","2","0","0","0"
"48989",0,"19","2","12","2","0","0","0"
"355081",0,"18","0","8","2","0","1","0"
"428358",0,"18","0","4","2","0","1","0"
"35455",0,"5","5","1","1","0","0","0"
"93034",0,"11","5","10","1","0","1","0"
"403132",0,"13","6","5","2","0","1","0"
"344369",0,"4","4","9","2","0","1","0"
"435420",0,"9","1","4","2","0","1","0"
"456664",0,"22","6","3","2","1","1","0"
"195128",0,"9","0","5","2","0","1","0"
"468793",0,"17","5","2","2","0","1","0"
"190497",0,"7","0","5","3","0","1","0"
"174576",0,"18","3","6","3","0","1","0"
"380960",0,"14","0","7","2","0","1","0"
"263577",0,"12","3","1","2","0","0","0"
"311328",0,"11","0","10","2","0","1","0"
"158280",0,"18","1","7","2","0","0","0"
"440033",0,"20","0","3","2","0","1","0"
"208611",0,"0","5","4","2","0","1","0"
"436077",0,"20","0","4","1","0","0","0"
"434633",0,"17","3","4","1","0","1","0"
"244770",0,"14","1","2","1","0","0","0"
"111350",0,"5","4","9","2","0","0","0"
"399971",0,"20","4","6","2","0","1","0"
"21557",0,"16","3","2","2","0","0","0"
"192022",0,"19","4","5","2","0","1","0"
"279858",0,"9","2","12","2","0","1","0"
"143325",0,"13","3","7","2","0","0","0"
"170358",0,"17","4","6","3","0","0","0"
"232506",0,"6","1","3","2","0","0","0"
"36197",0,"18","4","1","2","0","0","0"
"94845",0,"6","2","10","1","0","1","0"
"380670",0,"23","1","7","2","0","1","0"
"441170",0,"17","5","3","2","0","1","0"
"151317",0,"22","5","7","2","0","1","0"
"346355",0,"14","1","9","2","0","1","0"
"16163",0,"16","5","2","2","0","0","0"
"449044",0,"7","4","3","2","0","1","0"
"391762",0,"16","4","6","1","0","1","0"
"156416",0,"8","4","7","2","0","1","0"
"32907",0,"9","3","1","1","0","0","0"
"465361",0,"15","4","2","2","0","1","0"
"311017",0,"7","1","10","2","0","1","0"
"213846",0,"0","4","4","1","0","0","0"
"306340",0,"22","2","11","3","0","1","0"
"125254",0,"11","3","8","2","1","0","0"
"84279",0,"4","4","10","0","0","0","0"
"36181",0,"16","4","1","2","0","0","0"
"152614",0,"15","3","7","2","0","1","0"
"116233",0,"8","4","9","2","0","1","0"
"390161",0,"22","0","6","1","0","1","0"
"80483",0,"16","3","11","0","0","1","0"
"389480",0,"18","1","6","2","0","1","0"
"442517",0,"17","2","3","2","0","1","0"
"275644",0,"16","2","12","2","0","1","0"
"154342",0,"2","1","7","2","0","1","0"
"329353",0,"16","0","9","2","0","1","0"
"320733",0,"15","0","10","2","0","1","0"
"92297",0,"18","6","10","2","0","1","0"
"381299",0,"11","0","7","3","0","1","0"
"364289",0,"10","6","8","2","0","1","0"
"101857",0,"14","4","9","1","0","0","0"
"1095",0,"9","4","3","0","0","1","0"
"413889",0,"23","3","5","2","0","1","0"
"264300",0,"8","2","1","2","0","1","0"
"294634",0,"8","0","11","2","0","1","0"
"232112",0,"18","2","3","1","0","1","0"
"209620",0,"9","4","4","2","0","1","0"
"181368",0,"17","0","5","2","0","0","0"
"139191",0,"12","2","8","4","0","1","0"
"187786",0,"16","4","5","1","0","1","0"
"111916",0,"16","3","9","2","0","0","0"
"223848",0,"22","2","3","2","0","1","0"
"236722",0,"11","1","3","2","0","1","0"
"166557",0,"0","2","6","1","0","0","0"
"336234",0,"6","3","9","2","0","1","0"
"308033",0,"21","6","11","2","1","1","0"
"167895",0,"0","0","6","2","0","0","0"
"198841",0,"21","1","5","1","0","1","0"
"281442",0,"14","0","12","2","1","1","0"
"168654",0,"12","6","6","2","0","1","0"
"292669",0,"13","2","11","2","0","1","0"
"333534",0,"14","0","9","2","0","1","0"
"98217",0,"1","3","10","2","0","0","0"
"407603",0,"14","6","5","2","0","0","0"
"307849",0,"18","6","11","2","0","1","1"
"181862",0,"16","6","5","1","0","1","0"
"285059",0,"11","1","12","2","0","1","0"
"383999",0,"9","2","7","2","1","1","0"
"181002",0,"14","0","5","2","0","1","0"
"225694",0,"12","5","3","2","0","1","0"
"354139",0,"9","2","8","2","1","1","0"
"252435",0,"16","0","2","2","0","1","0"
"121578",0,"18","2","8","2","0","0","0"
"365113",0,"22","5","8","3","0","1","0"
"422981",0,"19","2","4","2","0","1","0"
"303099",0,"12","0","11","2","0","1","0"
"373831",0,"19","5","7","2","0","1","0"
"282080",0,"15","6","12","2","0","1","0"
"214826",0,"6","2","4","1","0","1","0"
"272789",0,"18","0","12","2","0","1","0"
"111539",0,"23","4","9","4","0","1","0"
"124940",0,"9","4","8","2","0","1","0"
"28404",0,"15","4","1","1","0","0","0"
"26128",0,"12","2","2","1","0","1","0"
"413043",0,"14","4","5","2","0","1","1"
"392770",0,"17","2","6","3","0","1","0"
"476446",0,"14","4","1","2","0","1","0"
"425100",0,"6","6","4","2","0","1","0"
"11702",0,"17","0","2","2","0","0","0"
"214113",0,"17","4","4","2","0","0","0"
"180133",0,"23","2","6","3","0","1","0"
"95624",0,"0","1","10","2","0","1","0"
"47942",0,"13","4","12","1","0","1","0"
"137607",0,"20","5","8","2","0","1","0"
"342276",0,"18","1","9","2","0","1","0"
"430475",0,"8","4","4","2","0","1","0"
"389472",0,"15","1","6","2","0","1","0"
"50251",0,"9","1","12","2","0","0","0"
"208332",0,"16","6","4","2","0","1","0"
"357790",0,"18","3","8","2","0","1","0"
"441047",0,"2","5","3","2","0","1","0"
"282151",0,"20","6","12","2","0","1","0"
"357815",0,"9","3","8","2","1","1","0"
"426224",0,"19","4","4","2","0","1","0"
"78462",0,"15","6","11","2","0","1","0"
"281289",0,"8","0","12","2","0","1","0"
"446430",0,"4","2","3","3","0","1","0"
"373041",0,"14","6","7","2","0","1","0"
"117164",0,"14","3","9","2","0","1","0"
"460681",0,"11","6","2","2","0","1","0"
"153003",0,"21","3","7","3","0","0","0"
"467169",0,"10","1","2","2","0","1","0"
"210577",0,"8","2","4","1","0","1","0"
"299069",0,"12","0","11","2","0","1","0"
"458853",0,"18","2","2","2","0","1","1"
"48600",0,"0","3","12","1","0","1","0"
"218364",0,"11","4","4","2","0","1","0"
"86487",0,"20","1","10","1","0","1","0"
"416544",0,"3","6","5","3","0","1","0"
"8211",0,"17","5","3","1","0","1","0"
"306085",0,"17","2","11","2","0","1","0"
"196300",0,"4","5","5","5","0","0","0"
"472631",0,"0","6","2","2","0","1","0"
"37695",0,"0","2","1","1","0","0","0"
"40467",0,"3","4","1","1","0","1","0"
"304013",0,"2","6","11","2","0","1","0"
"362865",0,"20","1","8","3","1","1","0"
"454357",0,"11","3","3","2","0","1","0"
"84846",0,"11","3","10","2","0","0","0"
"167845",0,"17","0","6","2","0","1","0"
"341009",0,"15","2","9","2","0","0","0"
"367636",0,"10","1","7","2","0","1","0"
"406195",0,"13","2","5","2","0","1","0"
"254804",0,"15","4","1","2","0","1","0"
"438754",0,"16","2","4","2","0","1","0"
"130342",0,"14","2","8","2","0","1","0"
"22485",0,"13","1","2","2","0","1","0"
"21887",0,"21","2","2","3","0","0","0"
"19639",0,"15","6","2","1","0","0","0"
"170028",0,"15","4","6","2","0","0","0"
"242015",0,"17","6","2","2","0","1","0"
"278417",0,"13","4","12","2","1","1","1"
"329043",0,"21","1","9","3","0","1","0"
"253597",0,"23","6","1","1","0","1","0"
"204424",0,"11","4","4","1","0","1","0"
"4018",0,"11","6","3","1","0","1","0"
"244249",0,"18","2","2","2","0","1","0"
"354897",0,"8","0","8","1","0","1","0"
"94109",0,"16","3","10","2","0","0","0"
"248128",0,"16","1","2","2","0","1","0"
"406538",0,"13","1","5","2","0","1","0"
"294873",0,"20","6","11","2","0","1","0"
"469924",0,"16","3","2","2","1","1","0"
"29867",0,"18","2","1","2","0","1","0"
"138259",0,"2","4","8","1","0","1","0"
"413172",0,"18","4","5","2","0","1","0"
"190733",0,"11","0","5","2","0","1","0"
"80219",0,"14","3","11","1","0","0","0"
"91133",0,"9","1","10","2","0","0","0"
"56353",0,"15","5","12","2","0","0","0"
"340898",0,"11","2","9","3","0","1","0"
"363180",0,"19","1","8","2","0","1","0"
"375225",0,"15","3","7","2","0","1","0"
"411409",0,"5","0","5","2","0","1","0"
"408001.1",0,"11","5","5","2","1","1","0"
"104092",0,"16","1","9","2","0","1","0"
"45841",0,"11","1","12","2","0","1","0"
"422594",0,"20","3","4","2","0","1","0"
"274327",0,"2","4","12","2","0","1","0"
"463300",0,"12","2","2","1","0","1","0"
"293601",0,"19","1","11","2","0","1","0"
"310971",0,"12","1","10","2","0","1","0"
"266856",0,"15","5","1","2","1","1","0"
"43413",0,"17","6","1","2","0","0","0"
"95071",0,"20","1","10","2","0","0","0"
"93569",0,"13","4","10","3","0","1","0"
"240223",0,"22","2","2","2","0","1","0"
"38721",0,"0","0","1","2","0","0","0"
"227427",0,"8","2","3","2","0","1","0"
"297",0,"21","5","3","1","0","1","0"
"23385",0,"17","0","2","2","0","1","0"
"40611",0,"10","4","1","2","0","0","0"
"350389",0,"8","1","8","2","0","1","0"
"452866",0,"9","4","3","2","1","1","0"
"109877",0,"12","6","9","2","0","0","0"
"169403",0,"18","5","6","2","0","0","0"
"257055",0,"11","0","1","2","0","1","1"
"404840",0,"16","4","5","2","0","1","0"
"345855",0,"2","1","9","2","0","1","0"
"349695",0,"1","2","8","2","0","1","0"
"351682",0,"11","5","8","2","0","1","0"
"125795",0,"17","2","8","2","0","0","0"
"257530",0,"18","0","1","1","0","1","0"
"430492",0,"0","4","4","2","0","1","0"
"238933",0,"20","4","2","3","0","1","0"
"252675",0,"16","0","2","2","0","0","0"
"287704",0,"6","4","12","3","0","1","0"
"164863",0,"13","5","6","2","0","1","0"
"467413",0,"7","1","2","2","1","1","0"
"149322",0,"19","1","7","3","0","0","0"
"30036",0,"16","1","1","2","0","1","0"
"388910",0,"14","1","6","2","0","1","0"
"260275",0,"18","2","1","2","0","1","0"
"319977",0,"9","1","10","2","0","1","0"
"246328",0,"14","4","2","1","0","1","0"
"400532",0,"10","3","6","2","0","1","0"
"97173",0,"4","5","10","2","0","0","0"
"465912",0,"7","4","2","2","0","1","0"
"254506",0,"11","4","1","2","0","1","0"
"380961",0,"14","0","7","2","0","0","0"
"94451",0,"0","3","10","3","0","0","0"
"113150",0,"22","2","9","2","0","0","0"
"49285",0,"12","2","12","2","0","0","0"
"455818",0,"13","0","3","2","0","1","0"
"413668",0,"11","3","5","2","0","1","0"
"93493",0,"7","4","10","3","0","0","0"
"309283",0,"15","3","10","2","0","1","0"
"55736",0,"14","6","12","2","0","0","0"
"228290",0,"9","1","3","1","0","1","0"
"77103",0,"14","1","11","2","0","0","0"
"147493",0,"16","4","7","2","0","0","0"
"397847",0,"19","1","6","2","1","1","0"
"277607",0,"18","6","12","2","0","1","0"
"426077",0,"14","4","4","2","0","1","0"
"253535",0,"11","6","1","2","0","1","0"
"157074",0,"22","3","7","2","0","1","0"
"234916",0,"7","4","3","2","0","1","0"
"311281",0,"9","0","10","2","0","0","0"
"357540",0,"17","3","8","2","0","0","0"
"94600",0,"16","2","10","2","0","1","0"
"326228",0,"11","5","10","2","0","1","0"
"303540",0,"9","0","11","2","1","1","0"
"116194",0,"21","4","9","2","0","0","0"
"63966",0,"7","1","11","1","0","1","0"
"112741",0,"17","2","9","2","0","1","0"
"343133",0,"9","6","9","2","0","1","0"
"223225",0,"15","3","3","1","0","1","0"
"69095",0,"14","6","11","3","0","1","0"
"54555",0,"8","1","12","1","0","0","0"
"280968",0,"8","1","12","1","0","1","0"
"330323",0,"23","5","9","2","0","1","0"
"52152",0,"18","5","12","2","0","1","0"
"277578",0,"8","6","12","2","0","1","0"
"239740",0,"23","3","2","2","0","0","0"
"9673",0,"20","3","3","2","0","0","0"
"191978",0,"16","4","5","2","0","1","0"
"371292",0,"22","2","7","2","0","1","0"
"201219",0,"9","4","4","2","0","1","0"
"82845",0,"10","6","10","2","0","1","0"
"314738",0,"7","2","10","2","0","1","0"
"229951",0,"6","5","3","2","0","1","0"
"230100",0,"18","5","3","2","0","0","0"
"134211",0,"17","3","8","2","0","0","0"
"409597",0,"8","3","5","3","0","0","0"
"442095",0,"8","3","3","1","0","1","0"
"96211",0,"6","0","10","2","0","0","0"
"36309",0,"8","4","1","2","0","1","0"
"414482",0,"17","2","5","2","0","1","0"
"224580",0,"12","0","3","2","0","1","0"
"459421",0,"8","1","2","2","0","1","0"
"92217",0,"9","6","10","2","0","0","0"
"261588",0,"10","0","1","3","0","1","0"
"429808",0,"6","5","4","2","0","1","0"
"162064",0,"7","2","6","2","0","1","0"
"411395",0,"21","0","5","2","0","1","0"
"62707",0,"22","3","12","2","0","1","0"
"83100",0,"3","6","10","2","0","0","0"
"469205",0,"13","4","2","2","0","1","0"
"447008",0,"15","1","3","2","0","1","0"
"52253",0,"3","4","12","3","0","0","0"
"327982",0,"19","2","9","2","0","1","0"
"174163",0,"15","4","6","2","0","0","0"
"68028",0,"21","1","11","2","0","1","0"
"466294",0,"12","3","2","2","0","1","0"
"63645",0,"15","1","11","2","0","0","0"
"156813",0,"10","3","7","2","0","1","0"
"364247",0,"14","6","8","1","0","1","0"
"383603.1",0,"9","2","7","2","0","1","0"
"296887",0,"21","3","11","2","0","1","0"
"300634",0,"1","4","11","2","0","1","0"
"65805",0,"14","5","11","2","0","0","0"
"337004",0,"10","2","9","2","0","1","0"
"401270",0,"16","2","6","2","0","1","0"
"448755",0,"16","4","3","2","0","1","0"
"164357",0,"10","5","6","2","0","1","0"
"376244",0,"18","1","7","1","0","1","0"
"380277",0,"7","1","7","2","0","1","0"
"322417",0,"4","4","10","2","0","1","0"
"404204",0,"15","4","5","1","0","0","0"
"386606",0,"17","4","6","2","0","1","0"
"192792",0,"20","3","5","2","0","1","0"
"117875",0,"20","1","9","2","0","1","0"
"169791",0,"9","4","6","2","0","1","0"
"423119",0,"14","2","4","2","0","1","0"
"340504",0,"9","3","9","2","0","1","0"
"275338",0,"19","2","12","2","0","1","0"
"78400",0,"22","6","11","2","0","1","0"
"41585",0,"10","2","1","2","0","0","0"
"233914",0,"9","5","3","2","0","1","0"
"282814",0,"18","5","12","2","0","1","1"
"469982",0,"19","3","2","1","0","0","0"
"469301",0,"16","4","2","2","0","0","0"
"412913",0,"15","4","5","2","0","1","0"
"375469",0,"13","2","7","3","0","1","0"
"92273",0,"20","6","10","2","0","0","0"
"347576",0,"0","6","8","2","0","1","0"
"83653",0,"8","5","10","2","0","1","0"
"124088",0,"22","5","8","3","0","1","0"
"174457",0,"15","3","6","2","0","1","0"
"380862",0,"16","1","7","2","0","1","0"
"325923",0,"14","5","10","2","0","1","0"
"259002",0,"15","4","1","1","0","1","0"
"169938",0,"6","4","6","2","0","1","0"
"152632",0,"15","3","7","2","0","1","0"
"405814",0,"12","2","5","2","0","1","0"
"41899",0,"9","2","1","2","0","1","0"
"97899",0,"6","4","10","2","0","1","0"
"14989",0,"16","0","2","2","0","0","0"
"462223",0,"15","3","2","2","0","1","0"
"392314",0,"11","3","6","2","1","1","0"
"298657",0,"6","0","11","4","0","1","0"
"183699",0,"7","3","5","2","0","1","0"
"441859",0,"18","3","3","2","0","1","0"
"94581",0,"12","2","10","1","0","1","0"
"20804",0,"8","4","2","1","0","0","0"
"94842",0,"5","2","10","3","0","1","0"
"403123",0,"13","6","5","2","0","1","0"
"332900",0,"14","1","9","2","0","1","0"
"251364",0,"7","2","2","2","0","0","0"
"244331",0,"15","2","2","2","0","1","0"
"429635",0,"14","5","4","2","0","1","0"
"81776",0,"15","1","11","2","0","0","0"
"270507",0,"16","5","1","2","0","0","0"
"244084",0,"9","2","2","2","0","1","0"
"229061",0,"2","0","3","2","0","0","0"
"317020",0,"13","5","10","2","0","1","0"
"291048",0,"8","6","11","2","0","0","0"
"152762",0,"19","3","7","1","0","1","0"
"270043",0,"0","6","1","2","0","1","0"
"440608",0,"2","6","3","1","0","1","0"
"451206",0,"12","0","3","2","0","1","0"
"365122",0,"22","5","8","2","1","1","0"
"254169",0,"13","5","1","2","0","1","0"
"119822",0,"18","5","9","2","0","0","0"
"422956",0,"9","2","4","2","0","1","0"
"193676",0,"7","2","5","2","0","0","0"
"146558",0,"22","5","7","1","0","0","0"
"445058",0,"18","4","3","3","0","1","0"
"237966",0,"17","6","2","2","0","1","0"
"110444",0,"10","5","9","2","0","1","0"
"242780",0,"18","4","2","1","1","1","0"
"98664",0,"22","3","10","2","0","1","0"
"171219",0,"10","2","6","2","0","1","0"
"129579",0,"17","3","8","2","0","1","0"
"433505",0,"14","5","4","2","1","0","0"
"395151",0,"13","5","6","2","0","1","0"
"181703",0,"17","6","5","2","0","1","0"
"474726",0,"12","2","1","2","0","0","0"
"105411",0,"16","6","9","2","0","0","0"
"284625",0,"19","2","12","2","0","1","0"
"159256",0,"14","6","7","3","0","1","0"
"291156",0,"7","5","11","3","0","1","0"
"80212",0,"13","3","11","1","0","1","0"
"445730",0,"12","3","3","2","1","1","0"
"472352",0,"10","6","2","2","0","1","0"
"52145",0,"16","5","12","1","0","1","0"
"55633",0,"6","0","12","1","0","0","0"
"400563",0,"12","3","6","2","0","1","0"
"120135",0,"16","4","9","2","0","1","0"
"176285",0,"0","0","6","3","0","1","0"
"180661",0,"18","1","5","2","0","0","0"
"232198",0,"8","1","3","1","0","1","0"
"201469",0,"14","3","4","2","0","1","0"
"96236",0,"20","0","10","2","0","0","0"
"249784",0,"14","5","2","2","0","0","0"
"389371",0,"17","1","6","2","0","1","0"
"122316",0,"8","1","8","1","0","1","0"
"452892",0,"0","4","3","2","0","1","0"
"196364",0,"6","5","5","2","0","1","0"
"291386",0,"19","5","11","2","0","1","0"
"416992",0,"1","5","5","2","0","1","0"
"313184",0,"16","4","10","2","0","1","0"
"325227",0,"16","0","10","2","0","1","0"
"345927",0,"23","1","9","2","0","1","0"
"10741",0,"15","1","2","2","0","1","0"
"446117",0,"8","2","3","1","0","1","0"
"354842",0,"23","0","8","2","0","0","0"
"275668",0,"12","2","12","2","0","1","0"
"55677",0,"18","0","12","1","0","1","0"
"400529",0,"10","3","6","2","1","1","0"
"407034",0,"13","1","5","2","0","0","0"
"435095",0,"19","2","4","2","0","1","0"
"237534",0,"15","0","2","1","0","1","0"
"369794",0,"18","4","7","2","0","1","1"
"89084",0,"5","4","10","2","0","1","0"
"228703",0,"15","0","3","1","0","1","0"
"380137",0,"16","2","7","2","0","1","0"
"53261",0,"8","3","12","2","0","0","0"
"327859",0,"10","3","10","2","0","1","0"
"156766",0,"16","3","7","2","0","0","0"
"388469",0,"19","2","6","2","0","1","0"
"254074",0,"21","5","1","2","0","1","0"
"300762",0,"11","4","11","2","0","1","0"
"184971",0,"7","1","5","3","0","0","0"
"408616",0,"13","4","5","2","0","1","0"
"24701",0,"14","4","2","1","0","1","0"
"42768",0,"13","0","1","2","0","0","0"
"352421",0,"12","4","8","2","0","1","0"
"53554",0,"17","3","12","2","0","0","0"
"124460",0,"11","4","8","2","0","1","0"
"314069",0,"2","3","10","2","0","1","0"
"268740",0,"13","1","1","2","0","0","0"
"30318",0,"21","1","1","2","0","1","0"
"50622",0,"17","0","12","2","0","0","0"
"341780",0,"15","1","9","2","0","1","0"
"131706",0,"14","0","8","2","0","0","0"
"52627",0,"13","4","12","1","0","0","0"
"184625",0,"16","2","5","2","0","1","0"
"240530",0,"15","1","2","2","1","1","0"
"306598",0,"9","1","11","2","0","1","0"
"310443",0,"5","2","10","2","0","1","0"
"238194",0,"4","6","2","3","0","1","0"
"381642",0,"0","6","7","2","0","1","0"
"76132",0,"8","3","11","2","0","1","0"
"461787",0,"12","4","2","2","0","1","0"
"34538",0,"13","0","1","1","0","1","0"
"212906",0,"16","6","4","2","0","1","0"
"185330",0,"15","1","5","2","0","1","0"
"427548",0,"20","2","4","2","0","0","0"
"364200",0,"13","6","8","2","0","1","0"
